hp_kw,km,age,price,make_model_Audi_A1,make_model_Audi_A3,make_model_Opel_Astra,make_model_Opel_Corsa,make_model_Opel_Insignia,make_model_Renault_Clio,make_model_Renault_Duster,make_model_Renault_Espace,gearing_type_Automatic,gearing_type_Manual,gearing_type_Semi_Automatic
66.0,56013.0,3.0,15770,1,0,0,0,0,0,0,0,1,0,0
141.0,80000.0,2.0,14500,1,0,0,0,0,0,0,0,1,0,0
85.0,83450.0,3.0,14640,1,0,0,0,0,0,0,0,1,0,0
66.0,73000.0,3.0,14500,1,0,0,0,0,0,0,0,1,0,0
66.0,16200.0,3.0,16790,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,62111.0,3.0,16422,1,0,0,0,0,0,0,0,1,0,0
66.0,14986.0,3.0,14480,1,0,0,0,0,0,0,0,1,0,0
85.0,57000.0,3.0,16700,1,0,0,0,0,0,0,0,1,0,0
70.0,16103.0,2.0,17990,1,0,0,0,0,0,0,0,1,0,0
85.0,11300.0,1.0,18500,1,0,0,0,0,0,0,0,1,0,0
92.0,26415.0,3.0,17990,1,0,0,0,0,0,0,0,1,0,0
92.0,31600.0,3.0,18380,1,0,0,0,0,0,0,0,1,0,0
112.0,45764.0,3.0,18399,1,0,0,0,0,0,0,0,1,0,0
70.0,34914.0,3.0,17990,1,0,0,0,0,0,0,0,1,0,0
85.0,27000.0,3.0,18700,1,0,0,0,0,0,0,0,1,0,0
85.0,9752.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
66.0,28408.0,2.0,18500,1,0,0,0,0,0,0,0,1,0,0
70.0,50280.0,3.0,18400,1,0,0,0,0,0,0,0,1,0,0
85.0,13406.0,1.0,18500,1,0,0,0,0,0,0,0,1,0,0
85.0,51160.0,2.0,18500,1,0,0,0,0,0,0,0,1,0,0
92.0,15850.0,3.0,18500,1,0,0,0,0,0,0,0,1,0,0
92.0,17000.0,3.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,9077.0,1.0,18850,1,0,0,0,0,0,0,0,1,0,0
70.0,3000.0,1.0,18500,1,0,0,0,0,0,0,0,1,0,0
70.0,115000.0,3.0,8999,1,0,0,0,0,0,0,0,0,1,0
70.0,84029.0,3.0,11444,1,0,0,0,0,0,0,0,0,1,0
70.0,67800.0,3.0,11300,1,0,0,0,0,0,0,0,0,1,0
66.0,14556.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
70.0,22000.0,3.0,11290,1,0,0,0,0,0,0,0,0,1,0
66.0,38400.0,3.0,11290,1,0,0,0,0,0,0,0,0,1,0
66.0,83307.0,3.0,11440,1,0,0,0,0,0,0,0,0,1,0
70.0,39668.0,3.0,11445,1,0,0,0,0,0,0,0,0,1,0
66.0,30353.0,3.0,11700,1,0,0,0,0,0,0,0,0,1,0
66.0,126000.0,3.0,11900,1,0,0,0,0,0,0,0,0,1,0
70.0,57500.0,3.0,11949,1,0,0,0,0,0,0,0,0,1,0
70.0,73945.0,3.0,11890,1,0,0,0,0,0,0,0,0,1,0
66.0,96000.0,2.0,11600,1,0,0,0,0,0,0,0,0,1,0
60.0,43120.0,3.0,11900,1,0,0,0,0,0,0,0,0,1,0
66.0,110715.0,3.0,11630,1,0,0,0,0,0,0,0,0,1,0
60.0,31971.0,3.0,11880,1,0,0,0,0,0,0,0,0,1,0
66.0,94800.0,3.0,11800,1,0,0,0,0,0,0,0,0,1,0
66.0,85000.0,3.0,11850,1,0,0,0,0,0,0,0,0,1,0
66.0,111265.0,3.0,11569,1,0,0,0,0,0,0,0,0,1,0
